Date,return_pct,volatility,shock_std,vol_trend_5,ret_5d,p30_dynamic,p70_dynamic,regime,vol_change,regime_future,regime_future_ml
2024-04-18,3.584120208614649,3.553443812667888,0.9733279095503118,3.55702909268282,-0.4848961088118386,2.701450802542088,4.0480892150733725,1,0.11093499633422699,1.0,1.0
2024-04-19,0.5195142876912584,3.569485719463228,0.1103968884975371,3.5479278880518352,-2.9252319706165157,2.701688218251009,4.047915672638825,1,0.016041906795340122,1.0,1.0
2024-04-20,1.7865871886504792,3.4057863671097683,0.4877384659138298,3.515726838773646,2.4424551676847983,2.7019256339599305,4.047742130204278,1,-0.16369935235345956,1.0,1.0
2024-04-21,-0.1043662476567064,3.2942721511135864,-0.0697636405981648,3.4530993733376265,1.7318969023051525,2.702163049668852,4.047568587769731,1,-0.11151421599618194,1.0,1.0
2024-04-22,2.9008901759276284,3.1462076377592174,0.8821528407381961,3.393839137622737,8.686745613227309,2.702248676744525,4.047502985452026,1,-0.148064513354369,1.0,1.0
2024-04-23,-0.646039848991542,3.1387215696735398,-0.2457988077604191,3.3108946890238675,4.456585555621118,2.702258409503574,4.047491353192745,1,-0.007486068085677644,1.0,1.0
2024-04-24,-3.260630131627096,3.0100750301306096,-1.1249169101961871,3.1990125511573444,0.6764411363027634,2.702268142262624,4.047479720933463,1,-0.12864653954293015,0.0,1.0
2024-04-25,0.3181282769190829,3.0819233081826845,0.0625174888944825,3.134239939371928,-0.7920177754286328,2.702300431107108,4.04739204726956,1,0.07184827805207483,0.0,1.0
2024-04-26,-1.132893521901579,2.947143569767099,-0.4269719689045032,3.06481422310263,-1.8205450496735052,2.702377832122463,4.047152290796416,1,-0.13477973841558555,1.0,1.0
2024-04-27,-0.5286917956356163,2.849843813608574,-0.2295374796464507,3.0055414582725013,-5.25012702123675,2.702455233137818,4.046912534323272,1,-0.09729975615852471,1.0,1.0
2024-04-28,-0.4835296290155,2.7377438441685524,-0.2224400215669455,2.925345913171504,-5.087616801260708,2.702532634153173,4.046672777850128,1,-0.11209996944002176,1.0,1.0
2024-04-29,1.1467091787556782,2.6322728912676845,0.3879745946620769,2.849785485398919,-0.6802774908779341,2.7023520317840117,4.0461687417188505,0,-0.10547095290086794,1.0,0.0
2024-04-30,-5.149462971654195,2.548131552107125,-2.070111779754203,2.7430271341838077,-6.147868739451212,2.7022616537565907,4.045664705587574,0,-0.08414133916055944,1.0,1.0
2024-05-01,-4.008992348065732,2.9874610041733587,-1.38393321720893,2.751090621065059,-9.023967565615363,2.70227138651564,4.045160669456298,1,0.43932945206623364,1.0,1.0
