Date,return_pct,volatility,shock_std,vol_trend_5,ret_5d,p30_dynamic,p70_dynamic,regime,vol_change,regime_future,regime_future_ml,price,sma_50,trend_dist,return,trend_strength,signal,realized_vol,dynamic_target,position
2021-12-30,1.5667738713133872,3.432430484786935,0.4199122770221902,3.2332857613445656,-6.665311579204314,2.8021061549169777,4.307131068292586,1,-0.059257419498391695,1.0,1.0,47178.125,53306.61171875,-0.11496672778762212,0.015667738713133872,-6.90306194990789e-05,-1,0.03157159493485419,0.005,0.0
2021-12-31,-1.8649172756866503,3.3080770491294533,-0.6016702201469454,3.251671422966229,-9.28024934787448,2.802468510040176,4.306735456835328,1,-0.1243534356574818,1.0,1.0,46306.4453125,52933.74140625,-0.12519984262755143,-0.018649172756866502,-0.003195501293178628,-1,0.0317106116065944,0.005,0.0
2022-01-01,2.93737331477697,3.223665098032308,0.8722739672204819,3.280640398216714,-6.009513936428235,2.802830865163373,4.30633984537807,1,-0.08441195109714528,1.0,1.0,47686.8125,52604.358828125,-0.09348172732590791,0.0293737331477697,-0.0024666450276983566,-1,0.032424419410302004,0.005,0.0
2022-01-02,-0.7189054400020822,3.2116130456294703,-0.2629082640815822,3.333494716372699,-0.5132767252325365,2.803193220286572,4.305944233920812,1,-0.012052052402837798,1.0,1.0,47345.21875,52261.87265625,-0.0940772623780449,-0.007189054400020822,0.0006459707677093351,-1,0.030242617500869574,0.005,0.0
2022-01-03,-1.891463669576332,3.0801087913649203,-0.654820325164125,3.251178893788617,0.0288608008252921,2.803574075417227,4.305010599173884,1,-0.13150425426454992,1.0,1.0,46458.1171875,51881.698203125,-0.10453746125253705,-0.01891463669576332,-0.00016601968605751814,-1,0.030433500237581516,0.005,0.0
2022-01-04,-1.2138934663861178,3.0166815695863014,-0.4439804487869487,3.1680291107484906,-2.751806536874213,2.8039641805516107,4.303807952782121,1,-0.06342722177861893,1.0,1.0,45897.57421875,51528.492265625,-0.10927775681555156,-0.012138934663861178,-0.003164905324249646,-1,0.028979329718163034,0.005,0.0
2022-01-05,-5.206628845481376,2.9180123205850004,-1.8272996925312948,3.0900161650396,-6.093518106668938,2.8043542856859944,4.302605306390356,1,-0.09866924900130103,1.0,1.0,43569.00390625,51196.647421875,-0.14898716810050155,-0.05206628845481376,-0.004493016537067353,-1,0.030371325196860047,0.005,0.0
2022-01-06,-0.9410297303588776,3.285970504951535,-0.324556747992092,3.102477246423445,-9.971921151804786,2.804759791753311,4.301776689955047,1,0.3679581843665347,1.0,1.0,43160.9296875,50852.50578125,-0.1512526467591689,-0.009410297303588775,-0.003404526739444781,-1,0.02721130288769747,0.005,0.0
2022-01-07,-3.7847988650375086,3.15658502973515,-1.2387605589359711,3.091471643244581,-13.037814576840212,2.805196099686493,4.3016961334326425,1,-0.129385475216385,1.0,1.0,41557.90234375,50544.82109375,-0.17780098050661128,-0.037847988650375086,-0.005991860954778973,-1,0.028107623828742004,0.005,0.0
2022-01-08,0.4227048332596794,3.272538500553601,0.0908318305447803,3.1299575850823174,-10.7236460740042,2.805632407619675,4.301615576910239,1,0.11595347081845109,1.0,1.0,41733.94140625,50217.108359375,-0.1689298175517365,0.004227048332596794,-0.005628982028942355,-1,0.025879146780184218,0.005,0.0
